economy,series,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2012
AND,EN.URB.LCTY,,,,,,,,,,,
AND,SP.POP.1564.FE.IN,25291.0,25343.0,25375.0,25617.0,26080.0,26525.0,26950.0,27326.0,27679.0,,
AND,SP.POP.1564.MA.IN,26181.0,26193.0,26216.0,26537.0,27171.0,27781.0,28388.0,28983.0,29534.0,,
AND,SP.POP.65UP.MA.IN,3902.0,4090.0,4272.0,4461.0,4652.0,4866.0,5094.0,5322.0,5546.0,,
COL,EN.URB.LCTY,9169561.0,9434817.0,9707746.0,9988963.0,10277518.0,10574409.0,10779376.0,10978360.0,11167392.0,11344312.0,
COL,SP.POP.1564.FE.IN,15932411.0,16146593.0,16352027.0,16575223.0,16883302.0,17267700.0,17633894.0,17924448.0,18149552.0,,
COL,SP.POP.1564.MA.IN,15504474.0,15716975.0,15922523.0,16149786.0,16464607.0,16856472.0,17230258.0,17526007.0,17749414.0,,
COL,SP.POP.65UP.MA.IN,1350709.0,1417781.0,1490495.0,1565609.0,1647414.0,1737754.0,1832519.0,1917962.0,1990511.0,,
CYP,EN.URB.LCTY,,,,,,,,,,,
CYP,SP.POP.1564.FE.IN,412674.0,415062.0,417266.0,419387.0,421471.0,423458.0,425289.0,426535.0,426940.0,,
CYP,SP.POP.1564.MA.IN,422913.0,425484.0,427856.0,430118.0,432317.0,434447.0,436420.0,437755.0,438241.0,,
CYP,SP.POP.65UP.MA.IN,64467.0,66682.0,68970.0,71223.0,73441.0,75732.0,78060.0,80369.0,82668.0,,
ITA,EN.URB.LCTY,4050069.0,4081506.0,4113186.0,4145112.0,4177286.0,4209710.0,4234019.0,4257056.0,4278350.0,4297877.0,
ITA,SP.POP.1564.FE.IN,19621873.0,19710043.0,19616337.0,19518313.0,19430184.0,19343107.0,19075765.0,18942324.0,18792359.0,,
ITA,SP.POP.1564.MA.IN,19363208.0,19470483.0,19407371.0,19362338.0,19340502.0,19315832.0,19078096.0,18961785.0,18841456.0,,
ITA,SP.POP.65UP.MA.IN,5486605.0,5652235.0,5750321.0,5831361.0,5903116.0,5972158.0,5999491.0,6064427.0,6121980.0,,
LTU,EN.URB.LCTY,528086.0,529671.0,531260.0,532856.0,534453.0,536055.0,537563.0,538894.0,539978.0,540775.0,
LTU,SP.POP.1564.FE.IN,1017667.0,1001603.0,984098.0,963204.0,941052.0,923947.0,913531.0,905793.0,900863.0,,
LTU,SP.POP.1564.MA.IN,955431.0,947591.0,938380.0,925494.0,911388.0,901882.0,898404.0,897184.0,898041.0,,
LTU,SP.POP.65UP.MA.IN,189164.0,190194.0,191107.0,190956.0,190612.0,191246.0,193511.0,196184.0,198112.0,,
MMR,EN.URB.LCTY,4657462.0,4753425.0,4851365.0,4951323.0,5053341.0,5157461.0,5243989.0,5331800.0,5421806.0,5514454.0,
MMR,SP.POP.1564.FE.IN,17106229.0,17306066.0,17487087.0,17663698.0,17836949.0,17999213.0,18150052.0,18297844.0,18444625.0,,
MMR,SP.POP.1564.MA.IN,17047694.0,17249821.0,17432774.0,17611376.0,17787103.0,17951796.0,18104883.0,18255501.0,18401658.0,,
MMR,SP.POP.65UP.MA.IN,1149502.0,1179500.0,1219186.0,1261751.0,1307284.0,1356564.0,1409591.0,1463109.0,1511180.0,,
NCL,EN.URB.LCTY,,,,,,,,,,,
NCL,SP.POP.1564.FE.IN,87511.0,89199.0,89886.0,90359.0,90763.0,91043.0,91116.0,91059.0,91033.0,,
NCL,SP.POP.1564.MA.IN,89081.0,90490.0,90816.0,90906.0,90912.0,90803.0,90567.0,90295.0,90088.0,,
NCL,SP.POP.65UP.MA.IN,10478.0,10991.0,11406.0,11782.0,12138.0,12490.0,12853.0,13228.0,13547.0,,
NOR,EN.URB.LCTY,940522.0,954433.0,968549.0,982894.0,997451.0,1012225.0,1026758.0,1041378.0,1056180.0,1071062.0,
NOR,SP.POP.1564.FE.IN,1632998.0,1648257.0,1661586.0,1672938.0,1682938.0,1691080.0,1699915.0,1706886.0,1712783.0,,
NOR,SP.POP.1564.MA.IN,1716007.0,1733890.0,1749505.0,1761283.0,1770025.0,1776213.0,1785084.0,1792942.0,1799128.0,,
NOR,SP.POP.65UP.MA.IN,359649.0,372120.0,384048.0,395607.0,407490.0,419666.0,431966.0,444574.0,457857.0,,
